,bay_top1,bay_top2,bay_top3,bay_top4,bay_top5,bay_top6,bay_top7,bay_top8,bay_top9,bay_top10,bay_top11,bay_top12,bay_top13,bay_top14,bay_top15,bay_top16,bay_top17,bay_top18,bay_top19,bay_top20,gnt_top1,gnt_top2,gnt_top3,gnt_top4,gnt_top5,gnt_top6,gnt_top7,gnt_top8,gnt_top9,gnt_top10,gnt_top11,gnt_top12,gnt_top13,gnt_top14,gnt_top15,gnt_top16,gnt_top17,gnt_top18,gnt_top19,gnt_top20,match
0,1,11,13,9,0,18,17,16,15,14,12,10,8,7,6,5,4,3,2,19,16,10,9,13,2,7,0,8,14,6,1,11,4,3,5,18,12,19,15,17,True
1,19,9,18,17,16,13,12,1,0,8,7,4,2,10,11,6,5,14,15,3,4,2,10,13,0,8,19,9,18,16,11,5,7,14,6,1,15,3,12,17,True
2,2,16,7,1,10,9,17,13,12,19,8,5,4,14,18,11,6,15,0,3,7,2,10,3,9,8,14,13,16,4,18,5,0,11,19,6,1,12,15,17,True
3,0,19,2,3,18,17,16,15,14,13,12,11,1,9,8,7,6,5,4,10,7,2,5,10,9,12,1,3,18,11,19,4,8,14,13,0,16,17,6,15,True
4,12,6,0,9,18,16,15,10,5,8,7,1,11,13,14,4,3,17,2,19,18,2,11,0,5,1,6,8,16,7,19,3,14,10,4,9,12,13,15,17,True
5,13,18,3,17,6,8,9,1,0,16,15,14,10,12,11,7,5,4,2,19,5,4,16,3,8,14,0,6,11,18,1,7,2,12,9,19,13,10,17,15,True
6,10,13,2,4,17,8,9,1,12,18,16,15,14,19,7,6,5,11,3,0,18,5,8,2,1,3,9,12,7,19,16,4,11,6,10,13,14,15,0,17,True
7,2,7,19,4,8,18,3,9,12,17,15,13,10,1,6,5,11,14,16,0,7,2,10,9,15,1,13,11,8,14,12,4,5,0,6,19,16,18,3,17,True
8,7,0,11,18,17,16,15,14,13,12,10,1,9,8,6,5,4,3,2,19,7,5,2,3,13,1,10,4,6,12,8,16,0,19,11,14,17,9,15,18,True
9,19,12,10,18,6,7,8,9,17,4,2,13,14,15,3,16,11,1,5,0,3,2,10,19,7,5,18,1,11,16,4,0,12,14,13,9,8,15,6,17,True
10,19,2,4,7,8,12,1,18,16,13,10,9,11,6,15,17,14,5,3,0,8,14,2,10,13,5,9,18,3,7,17,15,16,12,4,19,0,6,11,1,True
11,6,0,17,14,9,19,1,11,12,13,15,2,18,3,5,7,4,16,10,8,1,0,8,5,4,10,2,16,9,3,6,7,14,13,12,19,15,18,11,17,True
12,19,7,17,13,9,0,2,6,11,12,3,14,5,8,4,1,15,16,18,10,1,7,11,18,2,13,19,8,12,6,5,14,10,9,16,0,4,3,15,17,True
13,0,15,11,12,2,18,16,6,7,17,14,13,10,1,9,8,5,4,19,3,11,10,16,2,0,7,5,13,9,14,6,3,19,4,8,1,18,12,15,17,True
14,10,4,17,9,1,12,13,14,15,16,2,5,6,8,11,18,0,7,3,19,10,1,11,13,9,0,8,5,14,2,4,6,16,12,18,7,19,3,15,17,True
15,6,11,10,17,2,9,1,12,13,4,18,7,15,3,8,14,0,16,5,19,15,5,1,12,16,2,0,14,10,3,4,11,13,8,7,9,6,18,19,17,True
16,7,2,18,4,17,8,19,14,15,9,13,6,11,1,0,16,10,5,12,3,9,4,10,2,1,7,16,8,3,14,6,0,18,5,13,19,12,11,15,17,True
17,13,17,9,2,3,15,5,6,8,1,0,18,14,10,12,7,4,11,16,19,9,8,2,18,4,3,13,7,10,1,5,12,19,0,14,6,11,15,16,17,True
18,5,11,7,10,1,18,16,13,12,19,9,8,4,2,6,15,17,14,3,0,13,2,12,3,16,10,7,11,1,4,5,19,8,0,9,6,14,18,17,15,True
19,16,0,6,12,11,18,17,15,14,13,10,1,9,8,7,5,4,3,2,19,19,4,0,10,2,5,3,8,11,16,14,9,6,18,1,7,13,12,17,15,True
20,16,0,2,17,6,14,9,11,12,18,15,13,10,1,8,7,5,4,3,19,1,14,18,12,5,16,3,10,6,2,8,11,0,4,9,7,17,13,19,15,True
21,2,7,13,9,10,11,18,17,16,15,12,19,1,8,6,4,3,14,5,0,18,2,12,9,7,19,10,0,8,1,5,16,4,3,13,14,11,6,17,15,True
22,0,1,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,19,1,16,9,10,2,7,5,19,0,15,6,13,4,3,12,18,8,14,11,17,True
23,0,11,1,18,17,16,15,14,13,12,10,9,8,7,6,5,4,3,2,19,11,2,8,16,12,9,1,4,10,3,7,0,13,5,19,14,6,18,15,17,True
24,9,13,1,8,10,18,17,16,12,19,7,4,2,11,6,5,14,15,3,0,8,2,7,5,10,1,14,11,18,6,9,0,12,13,3,4,19,16,15,17,True
25,19,1,18,16,17,15,14,13,12,11,0,9,7,6,5,4,2,10,8,3,0,4,1,3,11,8,7,19,10,14,2,6,16,5,12,13,18,9,15,17,True
26,11,17,4,15,14,13,9,0,18,16,12,10,1,8,7,6,5,3,2,19,2,14,11,8,18,10,19,16,9,12,6,13,7,1,5,4,15,17,3,0,True
27,0,16,6,11,5,18,17,15,14,13,12,10,4,2,8,7,3,1,9,19,11,0,8,1,14,3,9,5,19,6,10,16,2,4,7,12,13,18,15,17,True
28,10,3,17,16,1,13,18,6,8,9,14,12,15,0,11,7,5,4,2,19,16,1,5,10,9,8,11,2,7,4,19,6,14,0,3,18,13,12,15,17,True
29,0,1,12,19,5,7,2,14,17,16,10,4,6,8,9,3,11,13,15,18,18,19,10,4,2,8,9,3,6,14,12,0,13,5,16,1,11,15,7,17,True
30,7,12,2,8,11,0,18,17,16,15,14,13,10,1,9,6,5,4,19,3,2,4,19,6,0,8,13,7,10,5,9,18,3,1,14,16,15,11,17,12,True
31,11,3,0,18,17,16,15,14,13,12,10,1,9,8,7,6,5,4,2,19,3,6,9,8,12,13,11,5,7,10,2,16,4,0,1,14,15,19,18,17,True
32,11,3,4,16,0,18,17,15,14,13,12,10,1,9,8,7,6,5,2,19,13,0,1,8,3,12,11,16,9,2,6,7,10,5,4,15,14,18,19,17,True
33,19,1,18,17,16,15,14,13,12,11,0,9,8,7,6,5,4,3,2,10,15,6,0,4,12,3,19,1,2,13,8,11,16,9,5,10,7,14,17,18,True
34,18,19,15,2,4,5,6,7,8,9,1,17,13,14,16,0,12,11,3,10,17,14,5,16,2,4,6,19,3,8,10,0,18,9,7,11,1,13,12,15,True
35,10,15,2,4,6,8,9,1,12,13,5,17,14,18,16,19,11,7,3,0,5,19,8,4,16,14,3,10,13,1,6,11,2,7,0,9,18,12,15,17,True
36,15,8,0,7,18,16,11,10,5,4,2,19,6,9,12,13,1,14,17,3,7,4,16,2,6,1,0,5,3,8,18,10,14,11,9,19,13,12,17,15,True
