,bay_top1,bay_top2,bay_top3,gnt_top1,gnt_top2,gnt_top3,match
0,3,1,2,0,3,4,False
1,1,2,3,0,1,4,False
2,1,3,4,0,4,1,False
3,2,0,1,4,3,0,False
4,0,1,4,0,4,3,False
5,0,1,2,0,3,4,False
6,0,2,1,4,0,1,False
7,0,1,2,1,0,3,False
8,2,3,0,3,1,0,False
9,0,2,1,0,4,3,False
10,1,2,0,3,4,0,False
11,1,2,3,3,0,4,False
12,0,1,2,0,4,3,False
13,4,1,3,0,1,3,False
14,1,4,0,0,4,3,False
15,1,2,3,0,4,3,False
16,2,1,3,3,0,4,False
17,2,1,3,4,0,3,False
18,3,0,1,3,0,4,False
19,0,1,2,4,3,0,False
20,1,2,3,4,3,0,False
21,0,1,2,4,3,1,False
22,0,1,2,4,1,0,False
23,0,1,2,4,3,0,False
24,0,1,2,4,3,0,False
25,0,1,2,3,4,0,False
26,2,0,1,3,1,4,False
27,0,1,2,4,3,0,False
28,0,1,2,0,3,1,False
29,0,1,2,0,3,1,False
30,3,0,2,4,1,0,False
31,0,1,2,4,0,3,False
32,0,1,2,4,0,1,False
33,2,4,1,3,4,0,False
34,1,3,4,1,3,0,False
35,1,3,4,0,4,3,False
36,3,0,1,0,3,4,False
37,0,1,2,3,4,0,False
38,1,2,3,3,4,0,False
39,0,1,2,4,3,0,False
40,1,2,3,0,3,1,False
41,1,0,2,4,3,0,False
42,1,2,3,3,0,4,False
43,0,1,2,3,4,0,False
44,1,2,4,0,4,1,False
45,1,0,2,4,0,1,False
46,1,2,4,3,4,0,False
47,1,0,2,0,4,3,False
48,0,2,4,4,3,0,False
49,0,1,2,4,3,0,False
50,1,4,2,0,4,3,False
51,1,2,3,0,3,4,False
52,0,1,2,0,3,4,False
53,1,3,4,0,4,3,False
54,2,1,3,0,3,1,False
55,0,2,3,4,0,1,False
56,1,4,0,0,3,4,False
57,4,1,3,0,3,4,False
58,0,1,2,4,3,1,False
59,0,1,2,0,1,3,False
60,1,3,4,0,3,1,False
61,0,1,2,3,0,4,False
62,0,1,2,4,0,3,False
63,2,0,1,0,4,3,False
64,0,1,2,0,3,4,False
65,0,1,2,3,0,4,False
66,1,3,4,0,3,1,False
67,4,1,0,0,4,3,False
68,2,0,1,4,3,0,False
69,0,1,2,4,3,0,False
70,0,1,2,4,1,0,False
71,0,1,2,3,4,1,False
72,2,4,0,3,4,0,False
73,1,3,0,4,0,3,False
74,0,1,2,4,2,3,False
75,0,1,2,4,0,3,False
76,0,1,2,4,3,0,False
77,0,1,2,0,3,2,False
78,0,1,2,3,4,0,False
79,0,1,2,4,3,0,False
80,0,1,2,4,1,0,False
81,0,1,2,0,3,4,False
82,3,0,1,4,3,0,False
83,1,2,3,4,1,3,False
84,0,1,2,3,4,0,False
85,0,1,2,4,0,1,False
86,1,2,0,4,3,0,False
87,2,4,0,4,3,1,False
88,0,1,2,4,3,1,False
89,1,2,3,1,0,4,False
90,2,3,1,3,0,1,False
91,0,1,2,0,4,3,False
92,0,3,1,4,3,0,False
93,0,2,1,4,0,1,False
94,0,1,2,4,3,0,False
95,2,4,0,0,3,4,False
96,0,1,2,4,3,0,False
97,0,1,2,4,0,3,False
98,0,1,2,4,0,3,False
99,0,1,2,0,4,3,False
100,1,0,2,4,3,0,False
101,0,2,4,4,3,0,False
102,3,0,1,0,3,4,False
103,1,4,0,0,1,4,True
104,2,4,0,0,4,3,False
105,2,4,0,0,3,4,False
106,0,1,2,0,1,4,False
107,0,1,2,4,1,3,False
108,1,2,4,0,1,3,False
109,0,1,2,3,1,0,False
110,0,1,2,4,3,0,False
111,3,0,1,3,0,4,False
112,0,2,3,4,3,0,False
113,0,1,2,1,4,0,False
114,4,1,0,0,4,3,False
115,3,0,1,3,0,1,True
116,0,1,2,4,3,1,False
117,3,0,2,4,3,0,False
118,0,1,2,0,4,3,False
119,0,1,3,4,0,3,False
120,4,1,3,0,4,3,False
121,2,0,1,0,2,3,False
122,0,1,2,4,0,3,False
123,0,1,2,3,0,2,False
124,4,1,3,0,4,3,False
125,0,2,3,4,0,3,False
126,1,0,2,3,4,0,False
127,0,2,3,4,3,0,False
128,1,3,4,4,3,0,False
129,1,3,0,4,3,0,False
130,0,1,2,4,3,1,False
131,3,0,1,0,4,3,False
132,0,1,2,3,4,0,False
133,0,1,2,3,4,1,False
134,0,1,2,0,4,3,False
135,0,2,1,4,0,2,False
136,0,1,2,4,3,0,False
137,4,0,1,0,3,4,False
138,1,2,4,4,0,1,False
139,0,1,2,4,0,1,False
140,2,0,1,4,0,1,False
141,3,4,0,4,0,3,True
142,0,1,2,4,3,0,False
143,2,0,1,4,0,3,False
144,3,0,1,3,4,0,False
145,0,1,4,0,3,4,False
146,2,0,3,4,0,3,False
147,0,1,2,4,3,0,False
148,2,0,1,4,3,0,False
149,2,0,1,3,4,0,False
150,0,1,2,4,0,3,False
151,0,1,2,3,4,1,False
152,0,1,2,4,3,1,False
153,1,2,3,0,3,4,False
154,1,2,3,0,4,3,False
155,0,3,4,4,0,3,True
156,1,2,3,0,1,4,False
157,0,1,2,0,3,4,False
158,3,0,1,3,0,4,False
159,3,4,1,0,4,1,False
160,0,1,2,0,1,3,False
161,1,2,3,0,3,4,False
162,0,1,2,0,3,4,False
163,0,1,2,0,4,3,False
164,0,3,4,4,3,0,True
165,4,1,2,0,3,1,False
166,0,1,2,0,1,4,False
167,0,1,2,4,3,1,False
168,3,0,4,4,1,3,False
169,1,0,2,4,3,0,False
170,1,2,3,3,0,4,False
171,0,2,1,4,1,3,False
172,1,3,4,0,4,3,False
173,1,3,0,0,3,4,False
174,0,2,1,4,0,3,False
175,0,3,4,4,3,0,True
176,3,4,0,0,1,4,False
177,1,2,3,4,3,0,False
178,4,1,3,1,3,4,True
179,2,4,0,0,4,3,False
180,1,0,3,4,0,1,False
181,0,1,2,3,0,4,False
182,0,2,1,0,3,4,False
183,0,1,2,4,3,2,False
184,0,2,1,4,3,0,False
185,1,2,3,3,0,4,False
186,1,2,3,0,3,1,False
187,0,1,2,0,4,3,False
