,topic0,topic1,topic2,topic3,topic4
0,3,2,1,1,3
1,6,2,1,1,3
2,3,3,1,2,3
3,2,1,1,1,2
4,4,3,1,2,3
5,3,2,1,2,3
6,3,4,1,1,3
7,4,3,1,2,3
8,2,1,2,1,2
9,4,3,1,2,3
10,6,5,1,1,3
11,5,5,2,2,4
12,4,3,1,1,3
13,2,1,1,2,2
14,4,2,1,2,3
15,4,3,1,1,3
16,2,1,2,1,2
17,3,2,1,1,2
18,4,3,1,1,3
19,4,3,1,1,3
20,3,1,1,2,2
21,4,1,2,2,3
22,4,3,1,1,3
23,3,2,1,2,3
24,3,1,2,2,3
25,3,2,1,1,3
26,2,1,1,1,2
27,7,7,1,1,3
28,3,2,4,2,2
29,3,2,1,1,3
30,3,2,2,2,3
31,3,3,1,1,3
32,3,2,1,1,2
33,6,4,1,1,3
34,2,1,1,2,2
35,2,1,1,1,2
36,5,4,1,1,3
37,2,1,1,1,2
38,3,3,2,1,3
39,3,1,2,2,2
40,3,1,2,2,3
41,3,2,1,1,3
42,3,2,1,1,3
43,3,1,1,2,2
44,3,1,2,3,3
45,2,1,1,1,2
46,3,2,1,3,3
47,3,2,1,4,2
48,3,1,3,2,3
49,3,1,1,2,2
50,3,1,1,2,2
51,4,3,1,1,3
52,3,1,1,2,2
53,3,2,1,2,3
54,3,1,2,4,3
55,3,2,1,1,3
56,3,2,1,1,3
57,3,3,2,2,2
58,3,2,1,1,3
59,3,1,2,2,3
60,4,2,2,2,4
61,2,1,1,1,3
62,2,1,1,1,2
63,3,1,2,4,3
64,3,1,2,2,3
65,2,1,1,3,2
66,2,1,1,1,2
67,2,1,1,1,2
68,3,2,1,1,3
69,3,1,2,2,3
70,3,2,1,1,3
71,5,4,1,1,3
72,3,2,1,1,3
73,6,1,5,5,6
74,3,2,4,2,2
75,4,3,1,1,3
76,2,1,1,1,2
77,4,3,1,1,3
78,3,1,1,2,2
79,3,1,2,2,2
80,4,3,1,1,3
81,3,1,1,2,2
82,5,4,1,1,3
83,3,1,2,2,3
84,3,2,1,4,2
85,3,1,1,2,2
86,3,1,2,2,3
87,3,1,2,4,3
88,4,3,1,1,3
89,2,1,1,1,2
90,4,1,1,2,2
91,3,1,2,2,3
92,3,2,1,1,3
93,4,3,1,1,3
94,2,1,1,1,2
95,3,2,1,3,3
96,2,1,1,1,2
97,3,2,1,1,3
98,3,2,1,1,3
99,3,2,1,1,3
100,6,3,5,1,3
101,3,1,1,2,2
102,3,1,2,2,3
103,2,1,1,1,2
104,3,2,1,1,3
105,3,1,2,2,3
106,5,1,4,4,5
107,2,1,1,2,2
108,3,2,3,1,3
109,4,3,1,2,3
110,4,2,1,1,3
111,3,2,1,1,3
112,3,1,1,2,2
113,3,2,1,1,3
114,2,1,1,2,2
115,3,2,1,1,3
116,3,2,1,1,3
117,3,1,2,3,3
118,3,2,1,1,3
119,4,3,1,1,3
120,3,2,1,1,3
121,3,2,1,1,3
122,3,2,1,2,3
123,2,1,1,1,2
124,3,2,1,1,3
125,4,2,1,2,3
126,2,1,1,1,2
127,2,1,1,1,2
128,6,3,5,5,8
129,3,1,2,2,3
130,8,1,5,5,6
131,7,3,4,4,6
132,3,2,1,1,3
133,8,2,3,3,4
134,2,1,1,1,2
135,2,1,1,2,2
136,6,1,5,6,6
137,3,1,1,2,2
138,2,1,1,1,2
139,3,3,1,2,2
140,3,1,2,5,3
141,9,2,5,5,7
142,4,1,1,2,2
143,3,1,1,2,2
144,3,1,1,2,2
145,4,3,1,1,3
146,3,1,1,2,3
147,3,2,1,1,3
148,5,1,2,2,3
149,8,1,4,4,5
150,3,1,1,3,2
151,7,1,3,3,4
152,7,1,4,4,6
153,4,3,1,1,3
154,3,2,1,1,3
155,6,1,3,3,4
156,3,1,1,2,2
157,6,1,5,5,6
158,10,1,5,5,6
159,4,2,1,1,3
160,4,3,1,1,3
161,5,1,4,2,3
162,2,1,1,1,2
163,3,1,2,2,3
164,4,3,1,1,3
165,3,2,1,1,3
166,3,1,2,3,3
167,5,1,3,4,4
168,3,2,2,2,4
169,3,1,2,2,3
170,3,1,3,2,3
171,3,2,1,4,2
172,3,2,3,1,3
173,3,1,1,2,2
174,3,1,1,2,2
175,7,1,4,4,5
176,3,1,3,2,3
177,3,1,2,2,3
178,4,3,1,1,3
179,3,1,2,2,3
180,4,3,1,1,3
181,3,1,2,2,3
182,4,3,1,1,3
183,2,1,1,1,2
184,3,2,1,1,3
185,3,2,1,2,3
186,3,1,1,2,2
187,3,2,1,2,2
188,3,2,1,1,3
189,3,1,2,3,3
190,6,3,1,4,3
191,3,2,1,1,3
192,5,1,3,3,4
193,3,2,1,3,3
194,6,2,1,1,3
195,2,1,1,2,3
196,3,1,2,2,3
197,2,1,1,1,2
198,3,1,1,2,2
199,5,1,4,4,5
200,4,3,1,3,3
201,3,2,1,1,3
202,5,1,7,4,5
203,2,1,1,1,3
204,2,1,1,1,2
205,2,1,1,2,2
206,3,1,3,2,3
207,3,2,1,1,3
208,3,1,2,2,3
209,3,2,1,1,4
210,4,3,1,1,3
211,3,1,2,2,3
212,3,2,1,1,4
213,2,1,1,1,3
214,4,3,1,1,3
215,2,1,1,1,2
216,4,3,1,1,4
217,3,1,2,2,3
218,5,3,1,2,2
219,3,4,1,2,3
220,4,3,1,1,3
221,4,3,1,1,3
222,3,2,2,1,3
223,4,3,1,1,3
224,3,1,1,2,2
225,4,3,1,1,3
226,3,2,1,1,3
227,4,3,1,1,3
228,2,1,1,1,2
229,3,2,1,1,3
230,3,1,2,3,3
231,4,1,1,1,2
232,3,2,2,1,3
233,2,1,1,1,2
234,2,1,1,1,5
235,3,1,2,2,3
236,4,2,2,1,3
237,3,1,2,2,3
238,3,2,1,1,3
239,3,2,1,1,3
240,3,1,1,2,2
241,2,1,1,1,2
242,3,2,1,1,3
243,3,3,1,1,3
244,3,1,2,3,3
245,3,1,1,2,2
246,3,2,1,1,3
247,4,3,1,1,3
248,3,2,1,2,3
249,3,2,1,1,3
250,5,1,3,3,4
251,6,1,4,4,5
252,3,1,1,2,2
253,2,1,1,1,2
254,2,2,1,1,2
255,3,2,1,1,3
256,6,3,5,5,8
257,3,1,2,2,4
258,2,1,1,1,2
259,3,1,2,2,3
260,2,1,1,1,2
261,3,1,2,2,3
262,3,1,1,2,2
263,3,2,1,2,2
264,3,1,2,2,3
265,3,2,1,5,3
266,4,3,1,1,3
267,3,2,1,1,3
268,3,1,2,2,2
269,2,2,1,1,2
270,3,2,1,1,3
271,2,1,1,1,2
272,3,1,2,2,3
273,6,1,4,4,5
274,3,1,2,2,4
275,3,2,1,2,3
276,3,1,1,2,2
277,3,2,1,1,3
278,2,1,1,1,2
279,3,2,1,1,4
280,3,1,1,2,2
281,2,1,1,2,2
282,5,1,3,4,4
283,3,1,1,2,2
284,4,3,1,1,3
285,3,1,1,2,3
286,4,3,1,2,3
287,3,1,3,3,3
288,3,1,1,2,2
289,3,3,1,3,2
290,3,2,1,1,3
291,3,2,1,2,3
292,3,1,2,2,3
293,2,3,1,1,2
294,4,2,1,1,2
295,7,1,5,6,6
296,3,1,1,2,2
297,4,1,2,2,3
298,4,1,1,3,2
299,2,1,1,1,2
300,3,2,1,1,3
301,3,1,2,4,3
302,4,3,1,1,3
303,3,2,1,2,3
304,3,2,1,1,3
305,4,1,1,3,2
306,3,2,3,1,3
307,2,1,1,2,2
308,7,2,3,3,5
309,4,1,3,3,4
310,5,1,4,4,5
311,4,3,1,1,4
312,3,1,4,2,3
313,3,1,1,2,2
314,3,2,1,1,3
315,3,2,1,1,4
316,3,1,1,2,2
317,3,2,2,2,3
318,4,1,2,2,3
319,3,2,1,1,3
320,3,2,1,1,3
321,3,1,2,2,3
322,2,1,1,1,2
323,3,1,1,2,2
324,5,4,1,1,3
325,3,1,2,2,3
326,2,1,1,1,2
327,5,1,2,2,3
328,4,1,1,3,3
329,3,1,1,2,2
330,2,3,1,1,2
331,4,2,2,2,3
332,2,1,1,1,2
333,5,3,1,2,3
334,2,1,1,1,2
335,3,1,2,2,3
336,3,2,1,2,4
337,6,1,2,2,3
338,3,2,1,1,3
339,3,1,1,2,2
340,3,1,1,2,2
341,6,2,4,5,6
342,5,1,3,3,4
343,4,1,1,2,3
344,2,3,1,1,3
345,3,1,2,5,3
346,3,1,1,2,2
347,4,3,1,1,3
348,3,1,2,2,3
349,3,1,1,2,2
350,3,1,2,2,3
351,3,1,2,2,3
352,2,1,1,1,2
353,3,2,1,1,2
354,3,4,1,1,3
355,3,1,1,3,3
356,3,1,2,3,4
357,4,2,3,1,3
358,5,1,4,4,5
359,3,1,2,2,3
360,3,1,1,2,2
361,3,1,2,2,3
362,3,1,2,2,4
363,3,1,2,2,3
364,5,1,2,2,3
365,4,1,3,3,4
366,3,1,2,2,3
367,3,1,1,2,2
368,5,2,3,1,5
369,3,3,2,1,3
370,3,2,1,1,3
371,3,1,1,2,2
372,3,2,1,3,3
373,2,1,1,1,2
374,3,1,2,3,3
375,3,1,1,5,2
376,3,1,2,2,4
377,4,2,2,2,3
378,3,1,2,2,3
379,3,1,2,3,4
380,5,1,3,4,4
381,3,2,1,1,4
382,5,1,4,6,5
383,3,1,2,2,3
384,2,1,1,2,2
385,2,1,1,1,2
386,3,2,1,1,3
387,5,1,4,4,5
388,3,2,1,1,3
389,2,1,2,2,2
390,3,2,3,1,3
391,3,3,1,1,3
392,7,1,4,4,5
393,4,1,1,2,2
394,2,1,1,1,3
395,2,1,1,2,3
396,4,1,1,2,2
397,3,3,1,3,2
398,2,1,1,1,2
399,2,1,1,1,3
400,4,3,1,1,3
401,4,1,3,4,4
402,4,3,1,1,3
403,7,1,4,4,5
404,7,1,5,6,6
405,6,1,3,4,4
406,4,1,2,3,4
407,3,1,2,2,3
408,3,1,1,2,2
409,2,1,1,1,2
410,2,1,1,1,2
411,2,1,1,1,2
412,3,2,1,1,3
413,3,1,3,2,2
414,3,2,3,2,2
415,3,2,1,1,4
416,4,3,1,1,3
417,3,2,1,1,3
418,4,3,1,1,3
419,3,1,1,2,2
420,4,2,2,2,6
421,3,1,1,2,2
422,3,1,1,2,2
