,index,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
0,0.0,0.11004557154754528,0.27851354524013405,0.06320106466441755,0.0900209040981475,0.07029431781355135,0.03065122378601256,0.13728783660946392,0.033514747863870875,0.16146217713715438,0.025008611239702473
1,1.0,0.0728986962699327,0.574510160336372,0.053933515026735046,0.02723524538749527,0.043053702148315776,0.05142015197458259,0.04133993886963105,0.047262810152445794,0.08748671333644101,0.0008590664980487421
2,2.0,0.10374740953156844,0.29695866613798083,0.03538109888951607,0.0968590709209522,0.05796689129872402,0.23955919775805895,0.04980478619061829,0.04027690962082874,0.06893272030426956,0.010513249347482788
3,3.0,0.0256070373162545,0.5981395147319457,0.047085650747641636,0.09364079450967845,0.03899445099133812,0.0753076515836045,0.024232327505972612,0.06670519328246992,0.025272611333422276,0.005014767997672227
4,4.0,0.07104879225943526,0.12430367574128276,0.03562190846760441,0.04778560679006096,0.08396498518032793,0.1008245245926562,0.08014127132693584,0.42227582626355387,0.02685157104874375,0.0071818383293989745
5,5.0,0.13634212698033185,0.06250485137725445,0.09773160036923631,0.12741464891954452,0.09332281825559305,0.13318153350869846,0.21078803245868288,0.04457898623894813,0.06029982878876502,0.03383557310294535
6,6.0,0.09078325675018896,0.20042687557922023,0.04337835742636212,0.04842737164905614,0.03902601363101671,0.0869538502154279,0.0407378497813317,0.08057870172685683,0.3356133305986275,0.03407439264191193
7,7.0,0.04864809318904312,0.7025540208927791,0.02109676466253739,0.02713772874835675,0.0686565419009455,0.02619187536036719,0.02850210573060636,0.04004299052727597,0.029012375930123964,0.008157503057964682
8,8.0,0.4025083211424102,0.0875209899539334,0.06704869320768872,0.15925852667888038,0.02849904390474574,0.10990024837150532,0.002397234820343502,0.1380458062681068,0.004821135652385902,0.0
9,9.0,0.03851219259648024,0.1724179864425115,0.042865202899677976,0.5160761458940903,0.05184511068594335,0.07500915753993488,0.02873135556646231,0.04127686439677662,0.027936384875087372,0.005329599103035347
10,10.0,0.028183861394982645,0.12739112176806575,0.010520002162910328,0.07365570895264825,0.04736958534421974,0.5310130752747486,0.09918404429482247,0.04313836726364845,0.02971136708614941,0.009832866457804556
11,11.0,0.31858123111990694,0.05390350050529817,0.036453335253737895,0.04935806802461216,0.12154796982544933,0.03701710926880877,0.07671913919966059,0.24099889118710205,0.0589912484902871,0.006429507125136968
13,13.0,0.04150188367659294,0.15236633806801994,0.4628950946937328,0.0903871833416917,0.0470333243217403,0.08019520796719548,0.03003067173397859,0.02917998283853146,0.05695959737260342,0.009450715985913336
14,14.0,0.5930740817662401,0.10784027808908286,0.025008288177140403,0.03585359342155016,0.04563896486587121,0.0450942563652288,0.05645705441702023,0.0152232059982579,0.07369084157016298,0.002119435329445388
15,15.0,0.5174846777908988,0.05285123581110361,0.0387906151314741,0.1140938357088359,0.029109134791480393,0.09993052134367805,0.08148147728986692,0.005698784202681665,0.05218996759100359,0.008369750338976991
16,16.0,0.04981692818361524,0.26116523764933275,0.11394670108008392,0.03659115189879487,0.04526451470338575,0.049249729171839715,0.04087042709602032,0.37454448293210024,0.02015326678420669,0.008397560500620547
17,17.0,0.06624654421187326,0.09143080238815898,0.06432220287555282,0.06079094792646907,0.038283727953677515,0.0531622538389782,0.5166064371236383,0.031002476637280157,0.05486329043681196,0.02329131660755989
18,18.0,0.023042769385736905,0.35206981044392355,0.07336449800006566,0.038569708478265075,0.3485767655612604,0.02595350268385565,0.04127178453376533,0.04899814256928077,0.03644939331718142,0.011703625026665228
19,19.0,0.03446889485255457,0.315037959474914,0.27769779480935997,0.057982830835619795,0.03149302540265973,0.10607765722967302,0.037648224652112025,0.07092028849913384,0.05034195889559237,0.01833136534838081
20,20.0,0.05893913708508894,0.048533690727000964,0.02806987310741924,0.6316664884062504,0.06588137729578677,0.08061696554061105,0.03199823147078137,0.013859357504531154,0.04043487886253001,0.0
